Date,HSI
10/4/2003,11645.90039
11/4/2003,11733.42969
14/4/2003,11690.30957
15/4/2003,11838.36035
16/4/2003,11832.76953
17/4/2003,11974.61035
18/4/2003,null
21/4/2003,11753.29004
22/4/2003,11795.2002
23/4/2003,11624.75
24/4/2003,11626.78027
25/4/2003,11564.73047
28/4/2003,11581.58008
29/4/2003,11430.66016
30/4/2003,11380.61035
1/5/2003,11301.94043
2/5/2003,11359.79981
5/5/2003,11312.54981
6/5/2003,11402.37988
7/5/2003,11380.76953
8/5/2003,11284.70996
9/5/2003,11288.83984
12/5/2003,11215.01953
13/5/2003,11147.96973
14/5/2003,11119.33008
15/5/2003,10955.51953
16/5/2003,10832.25977
19/5/2003,10852.04004
20/5/2003,10673.11035
21/5/2003,10754.41016
22/5/2003,10591.86035
23/5/2003,10657.33984
26/5/2003,10608.98047
27/5/2003,10355.91992
28/5/2003,10518.08984
29/5/2003,10598.54981
30/5/2003,null
2/6/2003,10491.75977
3/6/2003,10579.19043
4/6/2003,10765.58008
5/6/2003,10806.16016
6/6/2003,10803.4502
9/6/2003,10843.15039
10/6/2003,10787.54004
11/6/2003,10558.80957
12/6/2003,10648.29981
13/6/2003,10581.66016
16/6/2003,10421.49023
17/6/2003,10335.12012
18/6/2003,10452.54981
19/6/2003,10325.45996
20/6/2003,10110.25
23/6/2003,10313.88965
24/6/2003,9971.990234
25/6/2003,9884.780273
26/6/2003,9773.120117
27/6/2003,9975.990234
30/6/2003,10155.25
1/7/2003,10267.36035
2/7/2003,10180.01953
3/7/2003,9991.719727
4/7/2003,9862.330078
7/7/2003,9700.69043
8/7/2003,9977.740234
9/7/2003,9962.240234
10/7/2003,10014.05957
11/7/2003,9959.919922
14/7/2003,10100.05957
15/7/2003,9961.349609
16/7/2003,10219.70996
17/7/2003,10265.04004
18/7/2003,10246.95996
21/7/2003,10408.00977
22/7/2003,10402.25977
23/7/2003,10424
24/7/2003,10245.69043
25/7/2003,10226.33008
28/7/2003,10185.51953
29/7/2003,10130.25
30/7/2003,10061.15039
31/7/2003,10043.87012
1/8/2003,9896.980469
4/8/2003,9790.679688
5/8/2003,9820.330078
6/8/2003,9726.030273
7/8/2003,9720.860352
8/8/2003,9723.669922
11/8/2003,9885.769531
12/8/2003,9882.349609
13/8/2003,9896.330078
14/8/2003,9650.969727
15/8/2003,9505.129883
18/8/2003,9707.25
19/8/2003,9474.070313
20/8/2003,9427.790039
21/8/2003,9328.219727
22/8/2003,9314.870117
25/8/2003,9197.679688
26/8/2003,9124.910156
27/8/2003,9270.709961
28/8/2003,9294.459961
29/8/2003,9072.209961
1/9/2003,null
2/9/2003,9109.349609
3/9/2003,8984.320313
4/9/2003,9051.370117
5/9/2003,8931.400391
8/9/2003,8977.410156
9/9/2003,8977.349609
10/9/2003,8858.69043
11/9/2003,8965.730469
12/9/2003,null
15/9/2003,9336.389648
16/9/2003,9459.139648
17/9/2003,9576.150391
18/9/2003,9613.070313
19/9/2003,9570.360352
22/9/2003,9548.94043
23/9/2003,9804.650391
24/9/2003,9787.490234
25/9/2003,9722.540039
26/9/2003,9853.740234
29/9/2003,9634.669922
30/9/2003,9560.459961
1/10/2003,9441.25
2/10/2003,9407.679688
3/10/2003,9720.830078
6/10/2003,9655.360352
7/10/2003,9773.980469
8/10/2003,9844.379883
9/10/2003,9770.679688
10/10/2003,9580.879883
13/10/2003,9613.839844
14/10/2003,9616.620117
15/10/2003,9740.839844
16/10/2003,9865.650391
17/10/2003,9920.089844
20/10/2003,9965.030273
21/10/2003,9971.150391
22/10/2003,10003.54004
23/10/2003,10065.32031
24/10/2003,10100.76953
27/10/2003,9995.519531
28/10/2003,9944.589844
29/10/2003,10147.83984
30/10/2003,10069.87012
31/10/2003,10205.16016
3/11/2003,10227.00977
4/11/2003,9995.730469
5/11/2003,10009.87988
6/11/2003,9973.75
7/11/2003,9868.480469
10/11/2003,9857.990234
11/11/2003,9784.570313
12/11/2003,9813.780273
13/11/2003,9728.429688
14/11/2003,9656.459961
17/11/2003,9715.740234
18/11/2003,9548.650391
19/11/2003,9557.860352
20/11/2003,9628.69043
21/11/2003,9570.929688
24/11/2003,9561.629883
25/11/2003,null
26/11/2003,null
27/11/2003,9445.259766
28/11/2003,9272.330078
1/12/2003,9321.290039
2/12/2003,null
3/12/2003,9365.519531
4/12/2003,9583.849609
5/12/2003,9665.959961
8/12/2003,9652.400391
9/12/2003,9688.209961
10/12/2003,9675.410156
11/12/2003,9721.5
12/12/2003,9834.080078
15/12/2003,9796.30957
16/12/2003,9873.490234
17/12/2003,9743.230469
18/12/2003,9614.589844
19/12/2003,9552.019531
22/12/2003,9568.469727
23/12/2003,9560.290039
24/12/2003,9584.700195
25/12/2003,9460.599609
26/12/2003,9298.669922
29/12/2003,9325.599609
30/12/2003,9240.790039
31/12/2003,9258.950195
1/1/2004,null
2/1/2004,null
5/1/2004,9252.709961
6/1/2004,9180.469727
7/1/2004,9126.150391
8/1/2004,9150.950195
9/1/2004,9232.139648
12/1/2004,9194.910156
13/1/2004,9314.900391
14/1/2004,9173.429688
15/1/2004,9201.759766
16/1/2004,9383.679688
19/1/2004,9397.049805
20/1/2004,9427.629883
21/1/2004,9390.480469
22/1/2004,9250.860352
23/1/2004,9239.469727
26/1/2004,9148.480469
27/1/2004,9116.280273
28/1/2004,9134.240234
29/1/2004,9122.660156
30/1/2004,9268.769531
2/2/2004,9181.889648
3/2/2004,9109.179688
4/2/2004,8962.259766
5/2/2004,8907.099609
6/2/2004,8861.870117
9/2/2004,8859.929688
10/2/2004,8874.990234
11/2/2004,8787.450195
12/2/2004,8956.169922
13/2/2004,8804.160156
16/2/2004,9041.509766
17/2/2004,9158.589844
